enrollment_id,username,course_id
1124,61ysO1Pg5Q6bsn73gkzoQt72GbhUHgNd,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd
1248,T6EWQ7jVP89JlHzj41KN1gEtGYevpSQM,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila
1585,k3YRNSEUtBfnCzCI2ffYAi1qqoCc9d8W,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila
1736,UaSh8dwx8gnofYbXlmpqj9uYDbpJ89pX,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila
1758,yZ9FndAKqVsKwZtO1B2JJJblefdbhZ02,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd
1845,oaoj9be4jW2Hot8wYgYrzLRvB0RU4KYy,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi
1888,lbgTV2YMskSv2TX4EXpaazpMVWfsftEV,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi
1891,s6iksgptFmyh2vfiarKdJkiKnp6RLi3f,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi
1967,viuKt4GgrX0rYL5EpHoxJbsiC9TblSuk,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6
1980,viuKt4GgrX0rYL5EpHoxJbsiC9TblSuk,Er0RFawC4sHagDmmQZcBGBrzamLQcblZ
2109,HAAyQYNYY3ULmqhNC56bxv5FSwyMVoqP,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6
2148,Hoitr98hXhrf7xDGgACEFamKhiarA3wg,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2153,3IgwuZBiVdgdYRQ9ySaEvpMizbjCJFS0,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6
2156,oNf6qoW6E6dhoPJKSUjvElFlUKN9drLY,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2304,dNx7yBBYuWpRM4BeMNLD1yOnUwcueGfB,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2327,ZFpXjzvya7Y5x9HmUsgToer6v1L16WM2,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2439,CUbueK74RGsaWBcRtztdoMN84Z7TxEjm,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2549,HbDaABEakQmE8DQEoFoIphu2SH13rFRy,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2560,oJ9j9ejTgKixczg3tSE8Sg8DPI7YQpJq,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6
2579,FcPFK6OTsUF1j3uNGabdzGTvbY8kcO3D,Er0RFawC4sHagDmmQZcBGBrzamLQcblZ
2606,hjUSUM6roI2mLGkMAqBjE0uxFRBSMYHJ,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6
2610,4cRZxyVNjv13lU3nu2aK2rwyndExVCGa,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6
2927,BCPOhUa2LrfH93ebCE15VbF0VEWEyi7T,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2964,sT9hGAnww95aeGvqwQpJlS3ORhWDT49F,Er0RFawC4sHagDmmQZcBGBrzamLQcblZ
3019,J8NkUmSvsrLHkKNXPhFg7o0pG3K7Aywh,Er0RFawC4sHagDmmQZcBGBrzamLQcblZ
